EmploymentField,EmploymentStatus,Gender,LanguageAtHome,JobWherePref,SchoolDegree,Income
software development and IT,Self-employed freelancer,male,Russian,no preference,master's degree (non-professional),12000.0
food and beverage,Employed for wages,male,English,no preference,"some college credit, no degree",20000.0
software development and IT,Self-employed freelancer,male,Serbo-Croatian,no preference,"some college credit, no degree",40000.0
finance,Employed for wages,male,English,in an office with other developers,bachelor's degree,65000.0
software development and IT,Employed for wages,male,English,in an office with other developers,associate's degree,50000.0
finance,Employed for wages,male,English,in an office with other developers,"professional degree (MBA, MD, JD, etc.)",125000.0
"farming, fishing, and forestry",Employed for wages,male,English,in an office with other developers,"some college credit, no degree",51000.0
office and administrative support,Employed for wages,male,English,in an office with other developers,high school diploma or equivalent (GED),20000.0
software development and IT,Self-employed freelancer,male,Malay Bhasa Indonesia,in an office with other developers,bachelor's degree,10000.0
architecture or physical engineering,Employed for wages,male,English,from home,bachelor's degree,85000.0
software development and IT,Employed for wages,male,English,no preference,high school diploma or equivalent (GED),200000.0
education,Employed for wages,male,English,from home,Ph.D.,60000.0
software development and IT,Employed for wages,female,English,no preference,high school diploma or equivalent (GED),44000.0
software development and IT,Employed for wages,male,English,no preference,bachelor's degree,40000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,60000.0
sales,Employed for wages,male,Polish,in an office with other developers,some high school,20000.0
software development and IT,Employed for wages,male,English,no preference,bachelor's degree,145000.0
"arts, entertainment, sports, or media",Employed for wages,male,English,no preference,associate's degree,27000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,80000.0
office and administrative support,Employed for wages,female,English,in an office with other developers,bachelor's degree,25000.0
food and beverage,Employed for wages,female,English,from home,master's degree (non-professional),13000.0
office and administrative support,Employed for wages,female,English,no preference,"some college credit, no degree",30000.0
education,Employed for wages,male,English,in an office with other developers,master's degree (non-professional),58000.0
sales,Employed for wages,male,English,no preference,"professional degree (MBA, MD, JD, etc.)",80000.0
software development and IT,Employed for wages,male,English,in an office with other developers,master's degree (non-professional),80000.0
software development and IT,Employed for wages,male,English,no preference,"some college credit, no degree",28000.0
"arts, entertainment, sports, or media",Employed for wages,male,English,in an office with other developers,bachelor's degree,62000.0
finance,Employed for wages,male,English,from home,associate's degree,29000.0
finance,Employed for wages,male,English,no preference,bachelor's degree,10000.0
"arts, entertainment, sports, or media",Employed for wages,female,English,no preference,master's degree (non-professional),50000.0
health care,Employed for wages,male,English,from home,bachelor's degree,40000.0
office and administrative support,Employed for wages,male,Spanish,in an office with other developers,"some college credit, no degree",40000.0
health care,Employed for wages,male,English,no preference,"some college credit, no degree",41000.0
finance,Employed for wages,male,English,in an office with other developers,bachelor's degree,70000.0
sales,Employed for wages,male,English,in an office with other developers,associate's degree,60000.0
legal,Employed for wages,male,English,no preference,"some college credit, no degree",35000.0
health care,Employed for wages,male,Mandarin Chinese,from home,"some college credit, no degree",15000.0
education,Employed for wages,male,English,in an office with other developers,bachelor's degree,6000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,85000.0
software development and IT,Employed for wages,male,English,no preference,bachelor's degree,50000.0
software development and IT,Employed for wages,male,English,in an office with other developers,"trade, technical, or vocational training",78000.0
software development and IT,Employed for wages,male,Portuguese,no preference,high school diploma or equivalent (GED),8000.0
software development and IT,Employed for wages,female,English,no preference,bachelor's degree,8000.0
office and administrative support,Employed for wages,male,Bengali,in an office with other developers,bachelor's degree,38000.0
education,Employed for wages,male,English,no preference,bachelor's degree,45000.0
education,Employed for wages,male,English,from home,bachelor's degree,35000.0
education,Employed for wages,male,English,in an office with other developers,master's degree (non-professional),50000.0
software development and IT,Self-employed freelancer,male,English,in an office with other developers,bachelor's degree,35000.0
office and administrative support,Employed for wages,male,English,in an office with other developers,associate's degree,70000.0
health care,Employed for wages,female,English,no preference,"professional degree (MBA, MD, JD, etc.)",65000.0
transportation,Self-employed freelancer,male,English,in an office with other developers,bachelor's degree,10000.0
software development and IT,Employed for wages,female,English,from home,master's degree (non-professional),70000.0
sales,Employed for wages,male,English,no preference,"some college credit, no degree",20000.0
sales,Employed for wages,male,English,from home,bachelor's degree,35000.0
sales,Self-employed business owner,male,Yue (Cantonese) Chinese,no preference,bachelor's degree,20000.0
"arts, entertainment, sports, or media",Self-employed freelancer,male,English,in an office with other developers,"some college credit, no degree",24000.0
education,Employed for wages,male,English,in an office with other developers,bachelor's degree,45000.0
finance,Employed for wages,male,Mandarin Chinese,in an office with other developers,Ph.D.,110000.0
"arts, entertainment, sports, or media",Self-employed freelancer,male,English,from home,associate's degree,25000.0
software development and IT,Employed for wages,female,English,in an office with other developers,"some college credit, no degree",24000.0
education,Employed for wages,male,English,no preference,Ph.D.,40000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,30000.0
software development and IT,Employed for wages,female,English,in an office with other developers,bachelor's degree,45000.0
education,Self-employed freelancer,female,English,in an office with other developers,master's degree (non-professional),30000.0
software development and IT,Employed for wages,female,English,no preference,master's degree (non-professional),150000.0
education,Employed for wages,female,English,in an office with other developers,bachelor's degree,15000.0
office and administrative support,Employed for wages,female,English,from home,bachelor's degree,9000.0
"arts, entertainment, sports, or media",Employed for wages,male,English,in an office with other developers,bachelor's degree,65000.0
software development and IT,Employed for wages,male,Turkish,no preference,bachelor's degree,8000.0
sales,Employed for wages,male,English,in an office with other developers,associate's degree,10000.0
software development and IT,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",7000.0
architecture or physical engineering,Employed for wages,male,Spanish,in an office with other developers,bachelor's degree,20000.0
software development and IT,Employed for wages,male,Chinese,no preference,bachelor's degree,10000.0
sales,Employed for wages,male,Portuguese,from home,"trade, technical, or vocational training",8000.0
legal,Self-employed freelancer,female,Spanish,from home,"professional degree (MBA, MD, JD, etc.)",80000.0
finance,Employed for wages,male,English,no preference,"some college credit, no degree",31000.0
software development and IT,Employed for wages,male,English,in an office with other developers,associate's degree,52000.0
software development and IT,Employed for wages,female,Russian,in an office with other developers,"professional degree (MBA, MD, JD, etc.)",6000.0
software development and IT,Employed for wages,male,Russian,from home,some high school,7000.0
software development and IT,Employed for wages,male,Danish,in an office with other developers,master's degree (non-professional),40000.0
education,Employed for wages,male,English,from home,master's degree (non-professional),60000.0
software development and IT,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",69000.0
office and administrative support,Employed for wages,female,English,in an office with other developers,bachelor's degree,8000.0
education,Employed for wages,male,English,no preference,bachelor's degree,50000.0
sales,Employed for wages,male,Spanish,in an office with other developers,"some college credit, no degree",12000.0
software development and IT,Employed for wages,male,French,in an office with other developers,some high school,15364.0
software development and IT,Employed for wages,male,Italian,in an office with other developers,bachelor's degree,30000.0
construction and extraction,Employed for wages,male,English,no preference,high school diploma or equivalent (GED),40000.0
software development and IT,Employed for wages,female,Croatian,in an office with other developers,bachelor's degree,25000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,23000.0
software development and IT,Employed for wages,female,Bulgarian,no preference,"professional degree (MBA, MD, JD, etc.)",12000.0
office and administrative support,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",20000.0
software development and IT,Employed for wages,male,German,in an office with other developers,some high school,42000.0
software development and IT,Employed for wages,male,Danish,in an office with other developers,"trade, technical, or vocational training",55000.0
transportation,Self-employed business owner,male,Arabic,no preference,bachelor's degree,40000.0
office and administrative support,Employed for wages,male,Slovak,from home,master's degree (non-professional),6000.0
food and beverage,Employed for wages,male,English,in an office with other developers,bachelor's degree,40000.0
software development and IT,Employed for wages,male,Russian,in an office with other developers,some high school,7000.0
software development and IT,Employed for wages,male,Russian,no preference,some high school,9000.0
office and administrative support,Employed for wages,male,English,in an office with other developers,bachelor's degree,10000.0
education,Employed for wages,male,Spanish,in an office with other developers,bachelor's degree,36000.0
construction and extraction,Employed for wages,male,French,no preference,bachelor's degree,16000.0
legal,Employed for wages,male,Spanish,in an office with other developers,"professional degree (MBA, MD, JD, etc.)",28000.0
"arts, entertainment, sports, or media",Employed for wages,male,English,in an office with other developers,bachelor's degree,23000.0
software development and IT,Employed for wages,male,English,from home,"some college credit, no degree",78000.0
education,Employed for wages,male,English,in an office with other developers,bachelor's degree,25000.0
sales,Employed for wages,female,English,in an office with other developers,"some college credit, no degree",40000.0
education,Employed for wages,male,English,in an office with other developers,bachelor's degree,25000.0
education,Employed for wages,female,English,from home,bachelor's degree,35000.0
software development and IT,Employed for wages,male,Romanian,no preference,bachelor's degree,20000.0
education,Employed for wages,male,English,from home,bachelor's degree,29000.0
office and administrative support,Employed for wages,male,English,no preference,associate's degree,12000.0
education,Employed for wages,female,English,in an office with other developers,"professional degree (MBA, MD, JD, etc.)",42000.0
office and administrative support,Employed for wages,male,English,in an office with other developers,bachelor's degree,35000.0
sales,Employed for wages,male,Dutch,in an office with other developers,no high school (secondary school),36000.0
architecture or physical engineering,Employed for wages,male,English,no preference,"some college credit, no degree",43000.0
software development and IT,Employed for wages,male,Russian,from home,bachelor's degree,18000.0
"arts, entertainment, sports, or media",Employed for wages,male,Spanish,from home,bachelor's degree,45000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,36000.0
sales,Employed for wages,male,English,from home,bachelor's degree,50000.0
transportation,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",85000.0
"arts, entertainment, sports, or media",Employed for wages,female,English,no preference,bachelor's degree,31000.0
software development and IT,Employed for wages,female,English,no preference,bachelor's degree,71000.0
software development and IT,Employed for wages,male,French,in an office with other developers,"trade, technical, or vocational training",30000.0
software development and IT,Employed for wages,male,Italian,no preference,bachelor's degree,35000.0
education,Employed for wages,female,English,from home,"professional degree (MBA, MD, JD, etc.)",30000.0
"arts, entertainment, sports, or media",Employed for wages,male,English,in an office with other developers,master's degree (non-professional),68000.0
software development and IT,Employed for wages,female,English,in an office with other developers,master's degree (non-professional),73000.0
legal,Employed for wages,male,English,in an office with other developers,bachelor's degree,75000.0
legal,Employed for wages,male,English,in an office with other developers,bachelor's degree,42000.0
education,Employed for wages,male,English,from home,"professional degree (MBA, MD, JD, etc.)",80000.0
office and administrative support,Employed for wages,male,English,from home,"trade, technical, or vocational training",14000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,50000.0
software development and IT,Employed for wages,female,English,no preference,associate's degree,39000.0
education,Employed for wages,male,English,in an office with other developers,bachelor's degree,40000.0
software development and IT,Employed for wages,male,English,from home,"trade, technical, or vocational training",35000.0
health care,Employed for wages,male,English,no preference,associate's degree,87000.0
software development and IT,Employed for wages,male,English,in an office with other developers,master's degree (non-professional),60000.0
education,Employed for wages,male,English,from home,bachelor's degree,36000.0
education,Employed for wages,male,English,no preference,"trade, technical, or vocational training",21000.0
software development and IT,Employed for wages,female,English,in an office with other developers,bachelor's degree,50000.0
office and administrative support,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",25000.0
construction and extraction,Employed for wages,male,English,in an office with other developers,bachelor's degree,70000.0
software development and IT,Employed for wages,female,English,no preference,bachelor's degree,30000.0
office and administrative support,Employed for wages,male,English,in an office with other developers,master's degree (non-professional),36000.0
food and beverage,Employed for wages,male,English,from home,bachelor's degree,65000.0
education,Employed for wages,female,English,from home,master's degree (non-professional),45000.0
transportation,Employed for wages,male,English,in an office with other developers,"trade, technical, or vocational training",38000.0
architecture or physical engineering,Self-employed business owner,male,English,in an office with other developers,"trade, technical, or vocational training",9000.0
food and beverage,Employed for wages,male,English,from home,master's degree (non-professional),100000.0
sales,Employed for wages,female,English,in an office with other developers,bachelor's degree,38000.0
finance,Employed for wages,female,English,in an office with other developers,bachelor's degree,90000.0
software development and IT,Employed for wages,male,English,no preference,bachelor's degree,35000.0
education,Employed for wages,male,English,in an office with other developers,master's degree (non-professional),18000.0
software development and IT,Employed for wages,female,Vietnamese,in an office with other developers,bachelor's degree,60000.0
software development and IT,Self-employed freelancer,female,English,no preference,associate's degree,45000.0
"arts, entertainment, sports, or media",Employed for wages,male,Spanish,in an office with other developers,bachelor's degree,20000.0
software development and IT,Employed for wages,male,English,from home,bachelor's degree,85000.0
education,Employed for wages,female,English,in an office with other developers,"professional degree (MBA, MD, JD, etc.)",75000.0
software development and IT,Employed for wages,male,English,from home,bachelor's degree,40000.0
sales,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",35000.0
education,Employed for wages,male,English,in an office with other developers,Ph.D.,80000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,30000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,65000.0
software development and IT,Employed for wages,female,English,no preference,bachelor's degree,112000.0
software development and IT,Employed for wages,female,English,no preference,associate's degree,42000.0
software development and IT,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",50000.0
health care,Employed for wages,female,Japanese,no preference,master's degree (non-professional),40000.0
"arts, entertainment, sports, or media",Employed for wages,male,English,from home,bachelor's degree,50000.0
software development and IT,Self-employed freelancer,male,French,from home,bachelor's degree,10000.0
education,Employed for wages,female,Spanish,in an office with other developers,bachelor's degree,45000.0
office and administrative support,Employed for wages,female,English,no preference,bachelor's degree,30000.0
health care,Employed for wages,female,English,from home,associate's degree,51000.0
education,Employed for wages,male,English,in an office with other developers,bachelor's degree,30000.0
health care,Employed for wages,male,English,in an office with other developers,bachelor's degree,36000.0
sales,Employed for wages,male,English,no preference,associate's degree,62000.0
office and administrative support,Employed for wages,male,English,from home,"some college credit, no degree",38000.0
software development and IT,Employed for wages,male,Spanish,no preference,"professional degree (MBA, MD, JD, etc.)",20000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,46500.0
software development and IT,Employed for wages,female,English,in an office with other developers,bachelor's degree,67000.0
food and beverage,Employed for wages,male,English,no preference,high school diploma or equivalent (GED),12000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,32000.0
office and administrative support,Employed for wages,male,English,in an office with other developers,bachelor's degree,20000.0
"arts, entertainment, sports, or media",Employed for wages,male,English,no preference,bachelor's degree,36000.0
education,Employed for wages,male,English,no preference,bachelor's degree,42000.0
software development and IT,Employed for wages,male,Lithuanian,in an office with other developers,master's degree (non-professional),9000.0
office and administrative support,Employed for wages,male,English,in an office with other developers,bachelor's degree,6000.0
software development and IT,Employed for wages,male,English,no preference,bachelor's degree,90000.0
legal,Employed for wages,female,English,in an office with other developers,bachelor's degree,45700.0
food and beverage,Employed for wages,male,English,in an office with other developers,associate's degree,11000.0
finance,Employed for wages,female,Tagalog,no preference,bachelor's degree,50000.0
"arts, entertainment, sports, or media",Employed for wages,female,English,from home,bachelor's degree,40000.0
education,Employed for wages,male,English,from home,master's degree (non-professional),47000.0
software development and IT,Employed for wages,male,English,no preference,"trade, technical, or vocational training",57000.0
health care,Employed for wages,male,English,no preference,bachelor's degree,30000.0
finance,Employed for wages,male,English,in an office with other developers,high school diploma or equivalent (GED),35000.0
software development and IT,Employed for wages,male,English,from home,bachelor's degree,40000.0
education,Employed for wages,male,English,no preference,bachelor's degree,58000.0
food and beverage,Employed for wages,male,English,in an office with other developers,associate's degree,21000.0
software development and IT,Employed for wages,male,English,no preference,associate's degree,48000.0
education,Employed for wages,male,English,no preference,master's degree (non-professional),25000.0
education,Employed for wages,male,Spanish,in an office with other developers,master's degree (non-professional),10000.0
software development and IT,Employed for wages,female,Cebuano,no preference,bachelor's degree,65000.0
"arts, entertainment, sports, or media",Employed for wages,male,English,in an office with other developers,bachelor's degree,26000.0
software development and IT,Employed for wages,male,English,no preference,bachelor's degree,75000.0
health care,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",26000.0
"arts, entertainment, sports, or media",Employed for wages,male,English,no preference,bachelor's degree,30000.0
office and administrative support,Employed for wages,male,English,in an office with other developers,bachelor's degree,20000.0
education,Employed for wages,male,English,no preference,master's degree (non-professional),30000.0
education,Employed for wages,female,German,no preference,master's degree (non-professional),12000.0
education,Employed for wages,female,English,from home,associate's degree,39000.0
office and administrative support,Employed for wages,female,English,no preference,"some college credit, no degree",33000.0
construction and extraction,Employed for wages,male,English,in an office with other developers,bachelor's degree,50000.0
"arts, entertainment, sports, or media",Self-employed business owner,male,English,no preference,master's degree (non-professional),110000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,30000.0
software development and IT,Self-employed freelancer,male,Portuguese,from home,"professional degree (MBA, MD, JD, etc.)",18000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,20000.0
software development and IT,Employed for wages,male,English,no preference,"trade, technical, or vocational training",75000.0
sales,Employed for wages,male,English,no preference,bachelor's degree,25000.0
transportation,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",74000.0
health care,Employed for wages,male,English,in an office with other developers,bachelor's degree,40000.0
software development and IT,Employed for wages,male,English,in an office with other developers,"trade, technical, or vocational training",45000.0
finance,Employed for wages,male,English,in an office with other developers,bachelor's degree,65000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,76000.0
architecture or physical engineering,Employed for wages,male,English,in an office with other developers,master's degree (non-professional),41000.0
software development and IT,Employed for wages,male,Spanish,in an office with other developers,bachelor's degree,35000.0
food and beverage,Employed for wages,male,Korean,in an office with other developers,"some college credit, no degree",20000.0
software development and IT,Self-employed freelancer,male,English,in an office with other developers,bachelor's degree,53000.0
legal,Employed for wages,female,English,no preference,bachelor's degree,32000.0
finance,Self-employed business owner,male,Vietnamese,no preference,bachelor's degree,80000.0
software development and IT,Employed for wages,female,English,in an office with other developers,bachelor's degree,68000.0
software development and IT,Employed for wages,male,English,from home,associate's degree,87000.0
software development and IT,Employed for wages,male,English,no preference,high school diploma or equivalent (GED),29250.0
software development and IT,Employed for wages,male,English,no preference,master's degree (non-professional),16000.0
software development and IT,Employed for wages,male,English,from home,associate's degree,43000.0
finance,Self-employed business owner,male,English,in an office with other developers,"trade, technical, or vocational training",85000.0
architecture or physical engineering,Employed for wages,female,English,from home,bachelor's degree,65000.0
construction and extraction,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",125000.0
education,Employed for wages,male,English,in an office with other developers,bachelor's degree,30000.0
"arts, entertainment, sports, or media",Employed for wages,female,English,no preference,high school diploma or equivalent (GED),42000.0
software development and IT,Employed for wages,female,English,from home,bachelor's degree,80000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,47000.0
"farming, fishing, and forestry",Self-employed freelancer,male,English,from home,high school diploma or equivalent (GED),10000.0
education,Employed for wages,male,English,from home,master's degree (non-professional),19000.0
office and administrative support,Employed for wages,female,English,from home,bachelor's degree,26000.0
"arts, entertainment, sports, or media",Employed for wages,male,English,in an office with other developers,"some college credit, no degree",70000.0
food and beverage,Employed for wages,male,English,no preference,"some college credit, no degree",25000.0
software development and IT,Employed for wages,female,English,no preference,bachelor's degree,100000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,75000.0
architecture or physical engineering,Employed for wages,male,Assamese,in an office with other developers,"professional degree (MBA, MD, JD, etc.)",9000.0
"arts, entertainment, sports, or media",Self-employed freelancer,male,English,in an office with other developers,bachelor's degree,50000.0
office and administrative support,Employed for wages,male,English,from home,bachelor's degree,35000.0
software development and IT,Employed for wages,male,Finnish,no preference,"some college credit, no degree",23374.0
software development and IT,Employed for wages,male,English,no preference,"some college credit, no degree",40000.0
education,Employed for wages,female,English,in an office with other developers,master's degree (non-professional),50000.0
health care,Employed for wages,male,Hungarian,in an office with other developers,bachelor's degree,40000.0
software development and IT,Employed for wages,female,English,in an office with other developers,master's degree (non-professional),135000.0
sales,Employed for wages,male,English,no preference,"some college credit, no degree",40000.0
software development and IT,Employed for wages,male,English,from home,bachelor's degree,48000.0
software development and IT,Employed for wages,male,English,in an office with other developers,"trade, technical, or vocational training",55000.0
software development and IT,Self-employed freelancer,female,English,no preference,bachelor's degree,15000.0
architecture or physical engineering,Employed for wages,male,Tagalog,in an office with other developers,bachelor's degree,24000.0
software development and IT,Employed for wages,male,Russian,no preference,"trade, technical, or vocational training",10000.0
software development and IT,Employed for wages,male,Russian,no preference,master's degree (non-professional),18800.0
office and administrative support,Employed for wages,male,English,in an office with other developers,master's degree (non-professional),50000.0
education,Employed for wages,male,Polish,in an office with other developers,Ph.D.,9000.0
education,Self-employed freelancer,male,English,in an office with other developers,master's degree (non-professional),25000.0
food and beverage,Employed for wages,male,Turkish,from home,bachelor's degree,14000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,74000.0
software development and IT,Employed for wages,male,Serbian,from home,high school diploma or equivalent (GED),11500.0
"arts, entertainment, sports, or media",Employed for wages,female,English,from home,"trade, technical, or vocational training",70000.0
software development and IT,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",48000.0
office and administrative support,Employed for wages,male,English,no preference,associate's degree,30000.0
"arts, entertainment, sports, or media",Employed for wages,male,English,no preference,"some college credit, no degree",30000.0
software development and IT,Employed for wages,female,English,from home,bachelor's degree,60000.0
education,Employed for wages,male,English,in an office with other developers,master's degree (non-professional),90000.0
software development and IT,Employed for wages,male,English,in an office with other developers,master's degree (non-professional),60000.0
sales,Employed for wages,male,English,from home,associate's degree,8000.0
office and administrative support,Employed for wages,male,English,in an office with other developers,master's degree (non-professional),48000.0
software development and IT,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",50000.0
food and beverage,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",10000.0
software development and IT,Employed for wages,male,English,in an office with other developers,master's degree (non-professional),87000.0
architecture or physical engineering,Employed for wages,female,Russian,no preference,bachelor's degree,8000.0
office and administrative support,Employed for wages,male,English,in an office with other developers,bachelor's degree,30000.0
software development and IT,Employed for wages,male,English,from home,bachelor's degree,30000.0
office and administrative support,Employed for wages,female,English,no preference,associate's degree,30000.0
education,Self-employed freelancer,male,Spanish,no preference,"some college credit, no degree",15000.0
food and beverage,Employed for wages,male,English,from home,"some college credit, no degree",14000.0
software development and IT,Employed for wages,female,English,from home,bachelor's degree,50000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,20000.0
finance,Employed for wages,female,English,in an office with other developers,"professional degree (MBA, MD, JD, etc.)",90000.0
"arts, entertainment, sports, or media",Employed for wages,male,English,in an office with other developers,"some college credit, no degree",52000.0
sales,Employed for wages,male,Nepali,in an office with other developers,high school diploma or equivalent (GED),29000.0
education,Employed for wages,male,English,in an office with other developers,bachelor's degree,75000.0
office and administrative support,Employed for wages,male,English,from home,bachelor's degree,45000.0
software development and IT,Employed for wages,female,Mandarin Chinese,in an office with other developers,"some college credit, no degree",6000.0
software development and IT,Employed for wages,female,English,in an office with other developers,"some college credit, no degree",75000.0
food and beverage,Employed for wages,male,English,in an office with other developers,"professional degree (MBA, MD, JD, etc.)",30000.0
food and beverage,Employed for wages,female,English,from home,associate's degree,11300.0
software development and IT,Employed for wages,male,Nepali,in an office with other developers,"some college credit, no degree",28000.0
software development and IT,Employed for wages,male,English,no preference,"trade, technical, or vocational training",27000.0
software development and IT,Employed for wages,male,English,from home,"some college credit, no degree",55000.0
architecture or physical engineering,Employed for wages,male,English,no preference,"trade, technical, or vocational training",95000.0
office and administrative support,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",12000.0
construction and extraction,Employed for wages,female,English,no preference,"some college credit, no degree",30000.0
education,Employed for wages,male,Spanish,in an office with other developers,bachelor's degree,57000.0
health care,Employed for wages,male,English,in an office with other developers,"trade, technical, or vocational training",40000.0
sales,Employed for wages,female,English,in an office with other developers,bachelor's degree,41000.0
software development and IT,Self-employed freelancer,male,Spanish,no preference,bachelor's degree,10000.0
software development and IT,Employed for wages,male,English,no preference,"trade, technical, or vocational training",72000.0
legal,Employed for wages,female,English,from home,bachelor's degree,68000.0
health care,Employed for wages,female,English,in an office with other developers,high school diploma or equivalent (GED),19900.0
office and administrative support,Employed for wages,male,Swedish,no preference,"some college credit, no degree",30000.0
transportation,Employed for wages,male,English,no preference,some high school,30000.0
software development and IT,Employed for wages,male,Spanish,in an office with other developers,bachelor's degree,105000.0
education,Employed for wages,male,Croatian,no preference,master's degree (non-professional),12000.0
finance,Employed for wages,male,English,in an office with other developers,associate's degree,35000.0
sales,Employed for wages,male,English,no preference,bachelor's degree,75000.0
software development and IT,Employed for wages,female,English,from home,"some college credit, no degree",14000.0
transportation,Employed for wages,male,English,in an office with other developers,bachelor's degree,33600.0
software development and IT,Self-employed freelancer,female,English,from home,bachelor's degree,25000.0
software development and IT,Self-employed freelancer,male,English,in an office with other developers,bachelor's degree,80000.0
sales,Employed for wages,male,English,from home,"professional degree (MBA, MD, JD, etc.)",90000.0
finance,Employed for wages,male,English,in an office with other developers,bachelor's degree,63000.0
food and beverage,Employed for wages,male,Spanish,from home,"some college credit, no degree",8000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,10000.0
"arts, entertainment, sports, or media",Employed for wages,male,Portuguese,in an office with other developers,bachelor's degree,45000.0
software development and IT,Employed for wages,male,English,from home,"some college credit, no degree",30000.0
food and beverage,Employed for wages,female,English,no preference,"some college credit, no degree",61000.0
food and beverage,Employed for wages,male,English,no preference,bachelor's degree,43000.0
finance,Employed for wages,male,English,in an office with other developers,bachelor's degree,27000.0
finance,Employed for wages,male,Spanish,from home,associate's degree,47000.0
finance,Employed for wages,female,English,no preference,bachelor's degree,32000.0
software development and IT,Employed for wages,male,Malayalam,in an office with other developers,master's degree (non-professional),10000.0
transportation,Employed for wages,male,German,in an office with other developers,"trade, technical, or vocational training",40000.0
office and administrative support,Employed for wages,male,Mandarin Chinese,in an office with other developers,bachelor's degree,35000.0
food and beverage,Employed for wages,male,English,from home,"some college credit, no degree",8000.0
health care,Employed for wages,male,English,no preference,bachelor's degree,35000.0
education,Employed for wages,male,English,in an office with other developers,bachelor's degree,6000.0
"farming, fishing, and forestry",Employed for wages,male,Hungarian,in an office with other developers,"professional degree (MBA, MD, JD, etc.)",50000.0
"arts, entertainment, sports, or media",Employed for wages,male,English,no preference,bachelor's degree,36000.0
education,Employed for wages,male,German,in an office with other developers,no high school (secondary school),26000.0
education,Employed for wages,male,English,from home,master's degree (non-professional),40000.0
"farming, fishing, and forestry",Employed for wages,male,English,no preference,"trade, technical, or vocational training",21000.0
food and beverage,Employed for wages,female,English,no preference,"some college credit, no degree",20000.0
education,Employed for wages,male,English,in an office with other developers,"professional degree (MBA, MD, JD, etc.)",75000.0
transportation,Employed for wages,male,English,from home,bachelor's degree,50000.0
food and beverage,Employed for wages,male,English,from home,bachelor's degree,25000.0
food and beverage,Employed for wages,male,English,in an office with other developers,bachelor's degree,16000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,30000.0
software development and IT,Employed for wages,female,French,in an office with other developers,associate's degree,28000.0
food and beverage,Self-employed freelancer,male,Spanish,in an office with other developers,bachelor's degree,50000.0
sales,Employed for wages,male,Gujarati,no preference,bachelor's degree,80000.0
"arts, entertainment, sports, or media",Employed for wages,male,English,in an office with other developers,master's degree (non-professional),22000.0
sales,Employed for wages,male,English,in an office with other developers,"trade, technical, or vocational training",18000.0
health care,Employed for wages,male,English,from home,bachelor's degree,55000.0
sales,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",32000.0
finance,Self-employed freelancer,female,English,no preference,bachelor's degree,25000.0
software development and IT,Employed for wages,male,English,in an office with other developers,"professional degree (MBA, MD, JD, etc.)",35000.0
education,Employed for wages,female,English,from home,"some college credit, no degree",19000.0
office and administrative support,Employed for wages,male,English,in an office with other developers,bachelor's degree,23000.0
"arts, entertainment, sports, or media",Employed for wages,female,English,in an office with other developers,bachelor's degree,20000.0
software development and IT,Employed for wages,male,Tagalog,in an office with other developers,bachelor's degree,22000.0
legal,Employed for wages,male,Portuguese,from home,"professional degree (MBA, MD, JD, etc.)",60000.0
finance,Employed for wages,male,English,in an office with other developers,bachelor's degree,85000.0
